Name,Set code,Set name,Collector number,Foil,Rarity,Quantity,ManaBox ID,Scryfall ID,Purchase price,Misprint,Altered,Condition,Language,Purchase price currency,Type,Mana Cost,Colors,Color Identity,Oracle Text,Commander Legal,Pauper Legal,CMC,Image URL
Accursed Marauder,mh3,Modern Horizons 3,405,normal,common,1,,44a63029-1fb2-4fdc-bca9-0a530c7b42d9,0.0,False,False,near_mint,en,USD,Creature — Zombie Warrior,{1}{B},B,B,"When this creature enters, each player sacrifices a nontoken creature of their choice.",legal,legal,2.0,https://cards.scryfall.io/normal/front/4/4/44a63029-1fb2-4fdc-bca9-0a530c7b42d9.jpg?1717014790
Accursed Marauder,mh3,Modern Horizons 3,405,normal,common,1,,44a63029-1fb2-4fdc-bca9-0a530c7b42d9,0.0,False,False,near_mint,en,USD,Creature — Zombie Warrior,{1}{B},B,B,"When this creature enters, each player sacrifices a nontoken creature of their choice.",legal,legal,2.0,https://cards.scryfall.io/normal/front/4/4/44a63029-1fb2-4fdc-bca9-0a530c7b42d9.jpg?1717014790
Accursed Marauder,mh3,Modern Horizons 3,80,normal,common,1,,5da14d86-0780-4821-a799-96f64b377df4,0.0,False,False,near_mint,en,USD,Creature — Zombie Warrior,{1}{B},B,B,"When this creature enters, each player sacrifices a nontoken creature of their choice.",legal,legal,2.0,https://cards.scryfall.io/normal/front/5/d/5da14d86-0780-4821-a799-96f64b377df4.jpg?1717011855
Acolyte of Aclazotz,lci,The Lost Caverns of Ixalan,89,normal,common,1,,99009400-ffa4-40af-8305-78295ae605ac,0.0,False,False,near_mint,en,USD,Creature — Vampire Cleric,{2}{B},B,B,"{T}, Sacrifice another creature or artifact: Each opponent loses 1 life and you gain 1 life.",legal,legal,3.0,https://cards.scryfall.io/normal/front/9/9/99009400-ffa4-40af-8305-78295ae605ac.jpg?1699044065
Acrobatic Cheerleader,dsk,Duskmourn: House of Horror,1,normal,common,1,,6f1a7590-3eee-4803-b192-d4fb771e6a86,0.0,False,False,near_mint,en,USD,Creature — Human Survivor,{1}{W},W,W,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once.",legal,legal,2.0,https://cards.scryfall.io/normal/front/6/f/6f1a7590-3eee-4803-b192-d4fb771e6a86.jpg?1726285858
Acrobatic Cheerleader,dsk,Duskmourn: House of Horror,1,normal,common,2,,6f1a7590-3eee-4803-b192-d4fb771e6a86,0.0,False,False,near_mint,en,USD,Creature — Human Survivor,{1}{W},W,W,"Survival — At the beginning of your second main phase, if this creature is tapped, put a flying counter on it. This ability triggers only once.",legal,legal,2.0,https://cards.scryfall.io/normal/front/6/f/6f1a7590-3eee-4803-b192-d4fb771e6a86.jpg?1726285858
Acrobatic Leap,lci,The Lost Caverns of Ixalan,2,normal,common,2,,47f82d84-03ad-42dd-80ce-f0ac5e353e46,0.0,False,False,near_mint,en,USD,Instant,{W},W,W,Target creature gets +1/+3 and gains flying until end of turn. Untap it.,legal,legal,1.0,https://cards.scryfall.io/normal/front/4/7/47f82d84-03ad-42dd-80ce-f0ac5e353e46.jpg?1699043064
Adaptive Gemguard,lci,The Lost Caverns of Ixalan,3,normal,common,1,,83c91e24-b7e8-4040-80cb-d1b375002c10,0.0,False,False,near_mint,en,USD,Artifact Creature — Gnome,{3}{W},W,W,Tap two untapped artifacts and/or creatures you control: Put a +1/+1 counter on this creature. Activate only as a sorcery.,legal,legal,4.0,https://cards.scryfall.io/normal/front/8/3/83c91e24-b7e8-4040-80cb-d1b375002c10.jpg?1699043073
Advanced Stitchwing,2x2,Double Masters 2022,36,normal,common,1,,044b2bfc-a5cc-4505-831d-5e1e3a6fdb3c,0.0,False,False,near_mint,en,USD,Creature — Zombie Horror,{3}{U}{U},U,U,"Flying
{2}{U}, Discard two cards: Return this card from your graveyard to the battlefield tapped.",legal,legal,5.0,https://cards.scryfall.io/normal/front/0/4/044b2bfc-a5cc-4505-831d-5e1e3a6fdb3c.jpg?1673147183
Aegis Turtle,iko,Ikoria: Lair of Behemoths,39,normal,common,1,,e433e7f0-7417-4dfe-a7a4-3f222b0a835f,0.0,False,False,near_mint,en,USD,Creature — Turtle,{U},U,U,,legal,legal,1.0,https://cards.scryfall.io/normal/front/e/4/e433e7f0-7417-4dfe-a7a4-3f222b0a835f.jpg?1591230443
Aerie Auxiliary,mh3,Modern Horizons 3,18,normal,common,4,,5e4c134b-a416-467e-a158-def84c92c6af,0.0,False,False,near_mint,en,USD,Creature — Bird Soldier,{3}{W},W,W,"Flying
When this creature enters, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",legal,legal,4.0,https://cards.scryfall.io/normal/front/5/e/5e4c134b-a416-467e-a158-def84c92c6af.jpg?1717011339
Aerie Auxiliary,mh3,Modern Horizons 3,18,normal,common,1,,5e4c134b-a416-467e-a158-def84c92c6af,0.0,False,False,near_mint,en,USD,Creature — Bird Soldier,{3}{W},W,W,"Flying
When this creature enters, support 2. (Put a +1/+1 counter on each of up to two other target creatures.)",legal,legal,4.0,https://cards.scryfall.io/normal/front/5/e/5e4c134b-a416-467e-a158-def84c92c6af.jpg?1717011339
Aether Spike,mh3,Modern Horizons 3,50,normal,common,6,,012f5195-10ab-4b32-a5de-a79341cd536a,0.0,False,False,near_mint,en,USD,Instant,{1}{U},U,U,"Choose target spell. You get {E}{E} (two energy counters), then you may pay any amount of {E}. Counter that spell unless its controller pays {1} for each {E} paid this way.",legal,legal,2.0,https://cards.scryfall.io/normal/front/0/1/012f5195-10ab-4b32-a5de-a79341cd536a.jpg?1717011606
Affa Protector,ogw,Oath of the Gatewatch,14,normal,common,1,,0e54ac79-fbaa-4385-869b-aaf31e33a11f,0.0,False,False,near_mint,en,USD,Creature — Human Soldier Ally,{2}{W},W,W,Vigilance,legal,legal,3.0,https://cards.scryfall.io/normal/front/0/e/0e54ac79-fbaa-4385-869b-aaf31e33a11f.jpg?1562897950
Agency Coroner,mkm,Murders at Karlov Manor,75,normal,common,1,,d63f2c23-e877-42e3-9362-5d003a173c6d,0.0,False,False,near_mint,en,USD,Creature — Ogre Cleric,{4}{B},B,B,"{2}{B}, Sacrifice another creature: Draw a card. If the sacrificed creature was suspected, draw two cards instead.",legal,legal,5.0,https://cards.scryfall.io/normal/front/d/6/d63f2c23-e877-42e3-9362-5d003a173c6d.jpg?1706241661
Agency Outfitter,mkm,Murders at Karlov Manor,38,normal,uncommon,1,,8112f133-535e-4264-8357-9cbf97957710,0.0,False,False,near_mint,en,USD,Creature — Sphinx Detective,{4}{U}{U},U,U,"Flying
When this creature enters, you may search your graveyard, hand and/or library for a card named Magnifying Glass and/or a card named Thinking Cap and put them onto the battlefield. If you search your library this way, shuffle.",legal,not_legal,6.0,https://cards.scryfall.io/normal/front/8/1/8112f133-535e-4264-8357-9cbf97957710.jpg?1709374955
Agent of the Iron Throne,clb,Commander Legends: Battle for Baldur's Gate,107,normal,uncommon,1,,5a5984d3-1e76-4d97-9373-b59cfa9c38ae,0.0,False,False,near_mint,en,USD,Legendary Enchantment — Background,{2}{B},B,B,"Commander creatures you own have ""Whenever an artifact or creature you control is put into a graveyard from the battlefield, each opponent loses 1 life.""",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/5/a/5a5984d3-1e76-4d97-9373-b59cfa9c38ae.jpg?1674135910
Agent of the Shadow Thieves,clb,Commander Legends: Battle for Baldur's Gate,108,normal,uncommon,1,,f50448e9-afe4-4d4e-b027-bbb855f17aeb,0.0,False,False,near_mint,en,USD,Legendary Enchantment — Background,{1}{B},B,B,"Commander creatures you own have ""Whenever this creature attacks a player, if no opponent has more life than that player, put a +1/+1 counter on this creature. It gains deathtouch and indestructible until end of turn.""",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/f/5/f50448e9-afe4-4d4e-b027-bbb855f17aeb.jpg?1674135919
Agonizing Remorse,sta,Strixhaven Mystical Archive,24,normal,uncommon,1,,57b7f7bd-6db3-4716-b1c3-015b0a6d37e3,0.0,False,False,near_mint,en,USD,Sorcery,{1}{B},B,B,Target opponent reveals their hand. You choose a nonland card from it or a card from their graveyard. Exile that card. You lose 1 life.,legal,not_legal,2.0,https://cards.scryfall.io/normal/front/5/7/57b7f7bd-6db3-4716-b1c3-015b0a6d37e3.jpg?1623779870
Ajani Fells the Godsire,mh3,Modern Horizons 3,19,normal,uncommon,3,,1d918133-d4e2-4674-a3cb-58edef1c6758,0.0,False,False,near_mint,en,USD,Enchantment — Saga,{3}{W}{W},W,W,"(As this Saga enters and after your draw step, add a lore counter. Sacrifice after III.)
I — Exile target creature an opponent controls with power 3 or greater.
II — Create a 2/1 white Cat Warrior creature token, then put a vigilance counter on a creature you control.
III — Target creature you control gains double strike until end of turn.",legal,not_legal,5.0,https://cards.scryfall.io/normal/front/1/d/1d918133-d4e2-4674-a3cb-58edef1c6758.jpg?1717011348
Akki Ronin,neo,Kamigawa: Neon Dynasty,319,normal,common,1,,fa16ee8e-d33a-40e9-9956-e345f0511819,0.0,False,False,near_mint,en,USD,Creature — Goblin Samurai,{1}{R},R,R,"Whenever a Samurai or Warrior you control attacks alone, you may discard a card. If you do, draw a card.",legal,legal,2.0,https://cards.scryfall.io/normal/front/f/a/fa16ee8e-d33a-40e9-9956-e345f0511819.jpg?1654569299
Aliban's Tower,hml,Homelands,61a,normal,common,1,,7f711ea8-a73a-42da-8bf7-101ba588f203,0.0,False,False,near_mint,en,USD,Instant,{1}{R},R,R,Target blocking creature gets +3/+1 until end of turn.,legal,legal,2.0,https://cards.scryfall.io/normal/front/7/f/7f711ea8-a73a-42da-8bf7-101ba588f203.jpg?1562587743
Aliban's Tower,hml,Homelands,61b,normal,common,1,,d66e94b9-23f6-45a8-97bd-602e3aaa6711,0.0,False,False,near_mint,en,USD,Instant,{1}{R},R,R,Target blocking creature gets +3/+1 until end of turn.,legal,legal,2.0,https://cards.scryfall.io/normal/front/d/6/d66e94b9-23f6-45a8-97bd-602e3aaa6711.jpg?1562588255
All-Star Kicker,mb2,Mystery Booster 2,557,normal,rare,1,,08b0e80a-7590-4ce3-b0ec-fddafd60b7d7,0.0,False,False,near_mint,en,USD,Creature — Orc Athlete,{1}{R},R,R,"Assist kicker {3} (You and up to one other player can spend mana to pay this kicker cost.)
When All-Star Kicker enters the battlefield, your team may pass the ball. Then if All-Star Kicker was kicked, creatures your team controls get +1/+1 and gain haste until end of turn. (To pass the ball, one of the players on your team gives a permanent or card in hand to another player on your team.)",not_legal,not_legal,2.0,https://cards.scryfall.io/normal/front/0/8/08b0e80a-7590-4ce3-b0ec-fddafd60b7d7.jpg?1723502916
Almighty Brushwagg,iko,Ikoria: Lair of Behemoths,143,normal,common,1,,71f2b7ac-8742-468d-b6a3-87881cb522ff,0.0,False,False,near_mint,en,USD,Creature — Brushwagg,{G},G,G,"Trample
{3}{G}: This creature gets +3/+3 until end of turn.",legal,legal,1.0,https://cards.scryfall.io/normal/front/7/1/71f2b7ac-8742-468d-b6a3-87881cb522ff.jpg?1591227501
"Alora, Merry Thief",clb,Commander Legends: Battle for Baldur's Gate,55,normal,uncommon,1,,1c3c779b-d1d8-4b1e-bb06-ed7071a5ec0b,0.0,False,False,near_mint,en,USD,Legendary Creature — Halfling Rogue,{2}{U},U,U,"Whenever you attack, up to one target attacking creature can't be blocked this turn. Return that creature to its owner's hand at the beginning of the next end step.
Choose a Background (You can have a Background as a second commander.)",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/1/c/1c3c779b-d1d8-4b1e-bb06-ed7071a5ec0b.jpg?1674135389
Amber Gristle O'Maul,clb,Commander Legends: Battle for Baldur's Gate,395,normal,uncommon,2,,d1272ef5-4ceb-4b07-a9af-393113b58ef4,0.0,False,False,near_mint,en,USD,Legendary Creature — Dwarf Cleric,{3}{R},R,R,"Haste
Whenever Amber Gristle O'Maul attacks, you may discard your hand. If you do, draw a card for each player being attacked.
Choose a Background (You can have a Background as a second commander.)",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/d/1/d1272ef5-4ceb-4b07-a9af-393113b58ef4.jpg?1674138513
Ambush Party,hml,Homelands,63b,normal,common,1,,ea200e93-e5bd-4777-b47e-e53849a89fe7,0.0,False,False,near_mint,en,USD,Creature — Human Rogue,{4}{R},R,R,"First strike, haste",legal,legal,5.0,https://cards.scryfall.io/normal/front/e/a/ea200e93-e5bd-4777-b47e-e53849a89fe7.jpg?1562588709
Amorphous Axe,mh1,Modern Horizons,219,normal,common,1,,8d149ede-3201-451a-a640-d0c10b024dbc,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{2},,,"Equipped creature gets +3/+0 and is every creature type.
Equip {3} ({3}: Attach to target creature you control. Equip only as a sorcery.)",legal,legal,2.0,https://cards.scryfall.io/normal/front/8/d/8d149ede-3201-451a-a640-d0c10b024dbc.jpg?1562202440
Amped Raptor,mh3,Modern Horizons 3,114,normal,uncommon,2,,1ac0e78b-0fdd-44f9-8b7b-c4f28a32782e,0.0,False,False,near_mint,en,USD,Creature — Dinosaur,{1}{R},R,R,"First strike
When this creature enters, you get {E}{E} (two energy counters). Then if you cast it from your hand, exile cards from the top of your library until you exile a nonland card. You may cast that card by paying an amount of {E} equal to its mana value rather than paying its mana cost.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/1/a/1ac0e78b-0fdd-44f9-8b7b-c4f28a32782e.jpg?1734350317
Amped Up,unf,Unfinity,98,normal,common,1,,dc9a9810-ad37-4575-8773-de428174af8d,0.0,False,False,near_mint,en,USD,Sorcery,{5}{R},R,R,"This spell costs {1} less to cast for each electrical socket in a wall or floor you can see from your seat.
Gain control of target creature until end of turn. Untap that creature. Until end of turn, it gets +3/+0 and gains haste.",not_legal,not_legal,6.0,https://cards.scryfall.io/normal/front/d/c/dc9a9810-ad37-4575-8773-de428174af8d.jpg?1673914143
Anaba Bodyguard,6ed,Classic Sixth Edition,164,normal,common,1,,13c21e32-6f43-4475-bd9e-472ca8cbd4a6,0.0,False,False,near_mint,en,USD,Creature — Minotaur,{3}{R},R,R,First strike (This creature deals combat damage before creatures without first strike.),legal,legal,4.0,https://cards.scryfall.io/normal/front/1/3/13c21e32-6f43-4475-bd9e-472ca8cbd4a6.jpg?1562814846
Ancestral Reminiscence,lci,The Lost Caverns of Ixalan,45,normal,common,1,,625690d3-7131-45de-adea-9c927241e661,0.0,False,False,near_mint,en,USD,Sorcery,{3}{U},U,U,"Draw three cards, then discard a card.",legal,legal,4.0,https://cards.scryfall.io/normal/front/6/2/625690d3-7131-45de-adea-9c927241e661.jpg?1699043525
Ancient Grudge,tsr,Time Spiral Remastered,151,normal,common,1,,5f28d4a2-6c75-44c2-93ac-e7159c1c623f,0.0,False,False,near_mint,en,USD,Instant,{1}{R},R,"G, R","Destroy target artifact.
Flashback {G} (You may cast this card from your graveyard for its flashback cost. Then exile it.)",legal,legal,2.0,https://cards.scryfall.io/normal/front/5/f/5f28d4a2-6c75-44c2-93ac-e7159c1c623f.jpg?1619396653
Angelic Harold,unf,Unfinity,255,normal,uncommon,2,,592a9752-ae60-42e2-b5ed-74a30070d06e,0.0,False,False,near_mint,en,USD,Legendary Creature — Angel Performer,{1}{W}{U},"U, W","U, W","Flying
When Angelic Harold enters, you may put a name sticker on a nonland permanent you own.
Each creature you control with three or more words in its name gets +1/+1.",not_legal,not_legal,3.0,https://cards.scryfall.io/normal/front/5/9/592a9752-ae60-42e2-b5ed-74a30070d06e.jpg?1673916571
Angel of the Ruins,mh3,Modern Horizons 3,262,normal,uncommon,1,,2647b5ac-1cd1-4069-a8df-2cd291a527b4,0.0,False,False,near_mint,en,USD,Artifact Creature — Angel,{5}{W}{W},W,W,"Flying
When this creature enters, exile up to two target artifacts and/or enchantments.
Plainscycling {2} ({2}, Discard this card: Search your library for a Plains card, reveal it, put it into your hand, then shuffle.)",legal,not_legal,7.0,https://cards.scryfall.io/normal/front/2/6/2647b5ac-1cd1-4069-a8df-2cd291a527b4.jpg?1717013530
"Angrath, Captain of Chaos",war,War of the Spark,227,normal,uncommon,1,,aa3a4cb5-945e-4caf-8a18-1ef977879fe8,0.0,False,False,near_mint,en,USD,Legendary Planeswalker — Angrath,{2}{B/R}{B/R},"B, R","B, R","Creatures you control have menace.
−2: Amass Zombies 2. (Put two +1/+1 counters on an Army you control. It's also a Zombie. If you don't control an Army, create a 0/0 black Zombie Army creature token first.)",legal,not_legal,4.0,https://cards.scryfall.io/normal/front/a/a/aa3a4cb5-945e-4caf-8a18-1ef977879fe8.jpg?1582053147
Angrath's Rampage,war,War of the Spark,185,normal,uncommon,1,,f5a39379-7313-463a-9a02-e5157b9557f4,0.0,False,False,near_mint,en,USD,Sorcery,{B}{R},"B, R","B, R","Choose one —
• Target player sacrifices an artifact of their choice.
• Target player sacrifices a creature of their choice.
• Target player sacrifices a planeswalker of their choice.",legal,not_legal,2.0,https://cards.scryfall.io/normal/front/f/5/f5a39379-7313-463a-9a02-e5157b9557f4.jpg?1557577065
Animate Object,unf,Unfinity,33,normal,uncommon,1,,9af548aa-802f-4057-8afb-225cdf19d98b,0.0,False,False,near_mint,en,USD,Sorcery,{4}{U},U,U,"You get seven {TK}. Choose an inanimate object you own from outside the game. Put a power and toughness sticker on it. You may also put a name sticker, an art sticker, and/or an ability sticker on it. Put it onto the battlefield as a creature token.",not_legal,not_legal,5.0,https://cards.scryfall.io/normal/front/9/a/9af548aa-802f-4057-8afb-225cdf19d98b.jpg?1673913392
An Incident Has Occurred,unf,Unfinity,143,normal,common,1,,01ba21ae-9b76-426b-9d79-52373ca0ca20,0.0,False,False,near_mint,en,USD,Sorcery,{1}{G},G,G,"Choose one or both —
• Destroy target creature with flying.
• Destroy target Attraction. (It's put into its owner's junkyard.)
You may apologize. If you do, you gain 3 life.",not_legal,not_legal,2.0,https://cards.scryfall.io/normal/front/0/1/01ba21ae-9b76-426b-9d79-52373ca0ca20.jpg?1674173544
Ankle Biter,otj,Outlaws of Thunder Junction,153,normal,common,2,,424972d6-3b2c-449b-b786-749a77020fa1,0.0,False,False,near_mint,en,USD,Creature — Snake,{G},G,G,Deathtouch,legal,legal,1.0,https://cards.scryfall.io/normal/front/4/2/424972d6-3b2c-449b-b786-749a77020fa1.jpg?1712355878
Ankle Biter,otj,Outlaws of Thunder Junction,153,normal,common,1,,424972d6-3b2c-449b-b786-749a77020fa1,0.0,False,False,near_mint,en,USD,Creature — Snake,{G},G,G,Deathtouch,legal,legal,1.0,https://cards.scryfall.io/normal/front/4/2/424972d6-3b2c-449b-b786-749a77020fa1.jpg?1712355878
Annoyed Altisaur,mh3,Modern Horizons 3,284,normal,uncommon,1,,4aa9354d-3496-47f4-81c9-aead15efb8bb,0.0,False,False,near_mint,en,USD,Creature — Dinosaur,{5}{G}{G},G,G,"Reach, trample
Cascade (When you cast this spell, exile cards from the top of your library until you exile a nonland card that costs less. You may cast it without paying its mana cost. Put the exiled cards on the bottom in a random order.)",legal,legal,7.0,https://cards.scryfall.io/normal/front/4/a/4aa9354d-3496-47f4-81c9-aead15efb8bb.jpg?1720655652
Another Chance,lci,The Lost Caverns of Ixalan,90,normal,common,1,,20d9eb9f-2fcc-49f0-99c1-bad748239466,0.0,False,False,near_mint,en,USD,Instant,{2}{B},B,B,"You may mill two cards. Then return up to two creature cards from your graveyard to your hand. (To mill two cards, put the top two cards of your library into your graveyard.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/2/0/20d9eb9f-2fcc-49f0-99c1-bad748239466.jpg?1699044076
Anthropede,dsk,Duskmourn: House of Horror,167,normal,common,1,,51216ab0-9806-4faa-afbd-143e95dc255b,0.0,False,False,near_mint,en,USD,Creature — Insect,{3}{G},G,G,"Reach
When this creature enters, you may discard a card or pay {2}. When you do, destroy target Room.",legal,legal,4.0,https://cards.scryfall.io/normal/front/5/1/51216ab0-9806-4faa-afbd-143e95dc255b.jpg?1726286480
Appendage Amalgam,dsk,Duskmourn: House of Horror,83,normal,common,1,,d16b3cf3-7b85-4153-b25a-e6b5fce725cf,0.0,False,False,near_mint,en,USD,Enchantment Creature — Horror,{2}{B},B,B,"Flash
Whenever this creature attacks, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)",legal,legal,3.0,https://cards.scryfall.io/normal/front/d/1/d16b3cf3-7b85-4153-b25a-e6b5fce725cf.jpg?1726286159
Aquatic Alchemist // Bubble Up,woe,Wilds of Eldraine,40,normal,common,1,,e6f03f21-aeb9-428b-9167-b2604919bdd8,0.0,False,False,near_mint,en,USD,Creature — Elemental // Sorcery — Adventure,{1}{U} // {2}{U},U,U,,legal,legal,2.0,https://cards.scryfall.io/normal/front/e/6/e6f03f21-aeb9-428b-9167-b2604919bdd8.jpg?1692936865
Arboreal Grazer,rvr,Ravnica Remastered,131,normal,common,1,,6d00ced6-7ba3-4d78-a680-9d3211704ca2,0.0,False,False,near_mint,en,USD,Creature — Sloth Beast,{G},G,G,"Reach
When this creature enters, you may put a land card from your hand onto the battlefield tapped.",legal,legal,1.0,https://cards.scryfall.io/normal/front/6/d/6d00ced6-7ba3-4d78-a680-9d3211704ca2.jpg?1709877030
Arboreal Grazer,rvr,Ravnica Remastered,343,normal,common,1,,bbed5933-836f-4a78-af53-c7e68a231279,0.0,False,False,near_mint,en,USD,Creature — Sloth Beast,{G},G,G,"Reach
When this creature enters, you may put a land card from your hand onto the battlefield tapped.",legal,legal,1.0,https://cards.scryfall.io/normal/front/b/b/bbed5933-836f-4a78-af53-c7e68a231279.jpg?1702416671
Arcane Encyclopedia,clb,Commander Legends: Battle for Baldur's Gate,297,normal,uncommon,1,,00ff4cb8-a0e0-4527-a77d-03394065ffe0,0.0,False,False,near_mint,en,USD,Artifact,{3},,,"{3}, {T}: Draw a card.",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/0/0/00ff4cb8-a0e0-4527-a77d-03394065ffe0.jpg?1674137703
Arcane Laboratory,7ed,Seventh Edition,60,normal,uncommon,1,,f9e3bcd7-60f8-472a-ada0-c3147cf06588,0.0,False,False,near_mint,en,USD,Enchantment,{2}{U},U,U,Each player can't cast more than one spell each turn.,legal,not_legal,3.0,https://cards.scryfall.io/normal/front/f/9/f9e3bcd7-60f8-472a-ada0-c3147cf06588.jpg?1562251789
Arcane Proxy,bro,The Brothers' War,75,normal,mythic,1,,d6d74d2e-7382-4fe3-ac3e-6906203ffcc7,0.0,False,False,near_mint,en,USD,Artifact Creature — Wizard,{7},,U,"Prototype {1}{U}{U} — 2/1 (You may cast this spell with different mana cost, color, and size. It keeps its abilities and types.)
When this creature enters, if you cast it, exile target instant or sorcery card with mana value less than or equal to this creature's power from your graveyard. Copy that card. You may cast the copy without paying its mana cost.",legal,not_legal,7.0,https://cards.scryfall.io/normal/front/d/6/d6d74d2e-7382-4fe3-ac3e-6906203ffcc7.jpg?1739650281
Arcane Signet,clb,Commander Legends: Battle for Baldur's Gate,298,normal,uncommon,1,,5b245a5b-5a99-4d22-99ef-3f5bf49c3262,0.0,False,False,near_mint,en,USD,Artifact,{2},,,{T}: Add one mana of any color in your commander's color identity.,legal,legal,2.0,https://cards.scryfall.io/normal/front/5/b/5b245a5b-5a99-4d22-99ef-3f5bf49c3262.jpg?1674137713
Arcane Signet,lcc,The Lost Caverns of Ixalan Commander,299,normal,common,1,,fc6c69a0-ac24-4486-8893-a6303d08fc6e,0.0,False,False,near_mint,en,USD,Artifact,{2},,,{T}: Add one mana of any color in your commander's color identity.,legal,legal,2.0,https://cards.scryfall.io/normal/front/f/c/fc6c69a0-ac24-4486-8893-a6303d08fc6e.jpg?1698988499
Arcane Signet,cmm,Commander Masters,367,normal,uncommon,1,,0539b83c-4459-41b5-a001-d15a1c9ddf23,0.0,False,False,near_mint,en,USD,Artifact,{2},,,{T}: Add one mana of any color in your commander's color identity.,legal,legal,2.0,https://cards.scryfall.io/normal/front/0/5/0539b83c-4459-41b5-a001-d15a1c9ddf23.jpg?1689999376
Archipelagore,iko,Ikoria: Lair of Behemoths,41,normal,uncommon,1,,f24b1030-64d5-4c94-a04c-1d9520bfddab,0.0,False,False,near_mint,en,USD,Creature — Leviathan,{5}{U}{U},U,U,"Mutate {5}{U} (If you cast this spell for its mutate cost, put it over or under target non-Human creature you own. They mutate into the creature on top plus all abilities from under it.)
Whenever this creature mutates, tap up to X target creatures, where X is the number of times this creature has mutated. Those creatures don't untap during their controller's next untap step.",legal,not_legal,7.0,https://cards.scryfall.io/normal/front/f/2/f24b1030-64d5-4c94-a04c-1d9520bfddab.jpg?1591230455
Arid Archway,otj,Outlaws of Thunder Junction,252,normal,uncommon,1,,3f8c8fa2-12ab-4f6a-9f7a-2bc69e9ba024,0.0,False,False,near_mint,en,USD,Land — Desert,,,,"This land enters tapped.
When this land enters, return a land you control to its owner's hand. If another Desert was returned this way, surveil 1. (Look at the top card of your library. You may put it into your graveyard.)
{T}: Add {C}{C}.",legal,not_legal,0.0,https://cards.scryfall.io/normal/front/3/f/3f8c8fa2-12ab-4f6a-9f7a-2bc69e9ba024.jpg?1713223021
Armored Armadillo,otj,Outlaws of Thunder Junction,3,normal,common,1,,263232df-69b8-4205-93ad-c724fe57ec11,0.0,False,False,near_mint,en,USD,Creature — Armadillo,{W},W,W,"Ward {1} (Whenever this creature becomes the target of a spell or ability an opponent controls, counter it unless that player pays {1}.)
{3}{W}: This creature gets +X/+0 until end of turn, where X is its toughness.",legal,legal,1.0,https://cards.scryfall.io/normal/front/2/6/263232df-69b8-4205-93ad-c724fe57ec11.jpg?1712355235
Armory Mice,woe,Wilds of Eldraine,3,normal,common,1,,4b041949-6fb6-40a6-9329-f209be537219,0.0,False,False,near_mint,en,USD,Creature — Mouse,{1}{W},W,W,Celebration — This creature gets +0/+2 as long as two or more nonland permanents entered the battlefield under your control this turn.,legal,legal,2.0,https://cards.scryfall.io/normal/front/4/b/4b041949-6fb6-40a6-9329-f209be537219.jpg?1692936311
Art Appreciation,unf,Unfinity,99,normal,common,1,,88ece617-f845-47e9-8fee-8533db5c7a2f,0.0,False,False,near_mint,en,USD,Sorcery,{1}{R},R,R,"Put an art sticker on a nonland permanent you own. Then ask a person outside the game to rate its new art on a scale from 1 to 5, where 5 is the best. When they rate the art, up to that many target creatures can't block this turn.",not_legal,not_legal,2.0,https://cards.scryfall.io/normal/front/8/8/88ece617-f845-47e9-8fee-8533db5c7a2f.jpg?1673914155
Assassin Gauntlet,acr,Assassin's Creed,12,normal,uncommon,1,,a9ebdd18-7f07-417c-8f30-470c1f14dfae,0.0,False,False,near_mint,en,USD,Artifact — Equipment,{2}{U},U,U,"When this Equipment enters, attach it to up to one target creature you control. Tap all creatures target opponent controls.
Equipped creature gets +1/+1 and has ""Whenever this creature deals combat damage to a player, draw a card, then discard a card.""
Equip {2}",legal,not_legal,3.0,https://cards.scryfall.io/normal/front/a/9/a9ebdd18-7f07-417c-8f30-470c1f14dfae.jpg?1721423650
Assembled Ensemble,unf,Unfinity,3,normal,uncommon,1,,02e3ec6e-1375-4647-9d15-37ff4697da5c,0.0,False,False,near_mint,en,USD,Artifact Creature — Clown Robot Bard,{4}{W},W,W,"Vigilance
Assembled Ensemble's power is equal to the number of Robots you control.
Whenever you cast a spell with an artifact creature in its art, create a 1/1 white Clown Robot artifact creature token.",not_legal,not_legal,5.0,https://cards.scryfall.io/normal/front/0/2/02e3ec6e-1375-4647-9d15-37ff4697da5c.jpg?1673912997
Astral Confrontation,clb,Commander Legends: Battle for Baldur's Gate,6,normal,common,1,,eefe66d8-1b35-49f1-9bc0-74c5861e5abf,0.0,False,False,near_mint,en,USD,Instant,{4}{W},W,W,"This spell costs {1} less to cast for each opponent you're attacking.
Exile target creature.",legal,legal,5.0,https://cards.scryfall.io/normal/front/e/e/eefe66d8-1b35-49f1-9bc0-74c5861e5abf.jpg?1674134893
